"","ObjectID","Proposed.Management.Action","Strategy","Scale","Resources","Data.Requirements","Lead.Organisation","Potential.Partners","Capital.Cost","In.Kind.Contributions","Maintainance.Required","Annual.Cost","Funding.Available","Completion.Date","District","Costing.Certainty","Funding.Shortfall","Funding_Status_TRUE","Shortfall_Captial","Shortfall_In.Kind","Shortfall_Annual","Conditioned_Total_Costings","Combined_Costings","Choosing.the.Costing.Variable","Filtered_Costings_Data"
"1191",3067,"P","GFT and Glasgow University have completed smolt tagging projects in 2021 and 2023.  Further more detailed studies are taking place in spring 2024 to look at how generation timing at Earlstoun could be manipulated to ais smolt migration.","3","","","GFT","GFT, Galloway Glens, KDDSFB, DRAX, Glasgow University",70000,0,"",0,"Funding Secured","Within 2 Years","Dee (Kircudbright)","Very Confident",0,"Funded","No","No","No",70000,70000,70000,70000
"1194",3115,"P","Collect targetted samples for analysis","3","https://www.gov.scot/publications/analysis-bird-stomach-contents-final-report-goosander-cormorant-diet-four-scottish-rivers-2019-2020/pages/2/","Samples taken for birds shot under licence","Tweed Foundation","MSS, Scottish Government, NatureScot",2000,30000,"No",0,"Unfunded","Within 3 Years","Tweed","Very Confident",0,"Unfunded","No","No","No",NA,32000,32000,32000
"1198",3119,"P","deploy a network of temperature loggers along the main stem of the Tweed and Whiteadder in 2022 and 2023. Results to then be discussed with Scottish Water / SEPA","3","","Data from temperature loggers","Tweed Foundation","SEPA, Scottish Water",4650,15000,"Yes",0,"Unfunded","Within 2 Years","Tweed","Very Confident",0,"Unfunded","No","No","No",NA,19650,19650,19650
"1200",3149,"J","The Board will continue to do coordinated bird counts throughout the river to monitor piscivorous bird numbers and will provide this information to Scottish Government in the form of an annual license application to control piscivorous birds to prevent damage to. Promote the need for licensing to protect salmon smolt production, given the evidence that bird numbers are healthy whereas salmon have shown huge declines. This will be achieved through the River Directors position on the national predator management group, which includes Scottish Government and NatureScot. Encourage bankside and instream cover to be left in situ and develop habitat restoration plans to restore floodplains and provide main stem cover to help protect smolts. Encourage stakeholder engagement with shoot to scare tactics during the smolt migration period.","3","Piscivorous bird diet study and supplementary small indicative study from the Don.","Accurate knowledge of size of piscivorous bird populations, Accurate knowledge of impact of these birds on salmon/trout numbers.","Don DSFB","FMS, NatureScot, MSS, SASA",500,9146,"No",0,"Unfunded","Annual","Don","Very Confident",4500,"Unfunded","No","No","No",14146,9646,14146,14146
"1202",3153,"L","Monitoring of disease will continue and anyone noticing disease is encouraged to report it to the River Office. Communicate with anglers, clubs and proprietors about disease risks and request help with monitoring. Report concerns to the Fish Health Inspectorate and help to sample diseased fish.","3","","Knowledge of common fish diseases.","Don DSFB","FHI, FMS",0,1062.5,"No",0,"Unfunded","Annual","Don","Very Confident",0,"Unfunded","No","No","No",NA,1062.5,1062.5,1062.5
"1203",3154,"N","The Board will expand efforts to encourage biosecurity measures, on ghillied and unghillied beats, and by all water users. Communications will promote the importance of biosecurity measures.","3","","","Don DSFB","FMS,",250,1062.5,"No",0,"Unfunded","Annual","Don","Very Confident",5000,"Unfunded","No","No","No",6312.5,1312.5,6312.5,6312.5
"1204",3250,"F","Secure landowner agreement to protect river banks and instal willow weave","3","","Catchment wide erosion walk through study","Loch Lomond Fisheries Trust","Landowners / Loch Lomond and Trossachs National Park /  Loch Lomond Angling Improvement Association / SEPA",20000,0,"Yes",2000,"Partially Funded","More than 5 Years","Loch Lomond","Very Confident",20000,"Funded","Yes","No","No",NA,22000,22000,22000
"1205",3254,"P","Ascertain control sites in line with previous survey work","3","","Previous lamprey studies undertaken by NatureScot / SEPA / University of Glasgow etc","Loch Lomond Fisheries Trust","NatureScot / University of Glasgow",10000,0,"Yes",10000,"Unfunded","Within 3 Years","Loch Lomond","Very Confident",10000,"Unfunded","Yes","No","Yes",NA,20000,20000,20000
"1206",7696,"F","Monitoring of fish populations to identify any changes. Monitoring pH of water, especially in upper cathcment areas surrounded by forestry ","3","","","Ayrshire Rivers Trust","FLS, DSFB",NA,0,"Yes",5000,"Funding Secured","Annual","Girvan","Very Confident",0,"Funded","No","No","No",5000,5000,5000,5000
"1207",7697,"F","Ensure stock proof fencing protects the banks. Stabilise key erosion points using green engineering techniques.","3","","","Ayrshire Rivers Trust","Landowners, DSFB",6000,0,"No",NA,"Unfunded","Within 5 Years","Girvan","Very Confident",6000,"Unfunded","Yes","No","No",NA,6000,6000,6000
"1212",7700,"K","Constant presence on river during smolt runs to scare and deter pisciverous birds","3","","","DSFB","Ayrshire Rivers Trust",NA,0,"Yes",NA,"Unfunded","Annual","Girvan","Very Confident",0,"Unfunded","No","No","No",NA,0,0,NA
"1216",7742,"H","Employment of a Catchment officer to monitor spread of INNS, Agricultural pollution and other incidents. Provide training to identify ","5","","","Ayrshire Rivers Trust","DFSB",2000,0,"Yes",28000,"Unfunded","More than 5 Years","Stinchar","Very Confident",20000,"Unfunded","No","No","No",50000,30000,50000,50000
"1217",7702,"G","Provide stock proof fencing to protect buffers and plant them with locally sourced broadleaf trees. Add large woody debris to create instream diversity","3","","","Ayrshire Rivers Trust","Landowners, DSFB",202800,0,"No",NA,"Unfunded","More than 5 Years","Girvan","Very Confident",202800,"Unfunded","Yes","No","No",NA,202800,202800,202800
"1218",7744,"B","Remove timber blockages.","4","","Knowledge of known blockages","Ayshire Rivers Trust","DFSB, angling clubs and landowners",1000,0,"Yes",1000,"Funding Secured","Annual","Stinchar","Very Confident",1000,"Funded","Yes","No","Yes",NA,2000,2000,2000
"1236",7762,"L","Identify vectors which could encourage spread","5","https://forthriverstrust.org/wp-content/uploads/2019/01/ID_Pacifastacus_leniusculus_Signal_crayfish.pdf","Historic and current INNS sighting and treatment data","NatureScot","Loch Lomond & The Trossachs National Park
NatureScot
Land owners with INNS on their land
SEPA
Volunteers
Members of the public",60000,5000,"Yes",5000,"Unfunded","Annual","Forth","Very Confident",85000,"Unfunded","No","No","No",155000,70000,155000,155000
"1237",7703,"G","Provide stock proof fencing to protect buffers and plant them with locally sourced broadleaf trees. Add large woody debris to create instream diversity","3","","","Ayrshire Rivers Trust","Landowners, DSFB",47600,0,"No",NA,"Unfunded","More than 5 Years","Girvan","Very Confident",47600,"Unfunded","Yes","No","No",NA,47600,47600,47600
"1261",7787,"D","Development and delivery of restoration projects","4","https://storymaps.arcgis.com/stories/3c390e6da9dc41d2bdd7086949f0c03e ","Water temperature logs
Water gauge readings
LiDAR data
Ground level readings
Peat depth data
Morphological walkover survey data
River Habitat Survey (RHS) data
Digital terrain model from UAV (drone)
Orthomosaic from UAV (drone)
Animal population data (electrofishing, invertebrate samples, eDNA, etc.)","Forth Rivers Trust","Landowner
NatureScot
Loch Lomond & The Trossachs National Park
Forestry
SEPA",1500000,20000,"Yes",60000,"Partially Funded","Within 5 Years","Forth","Very Confident",1650000,"Funded","No","No","No",3230000,1580000,3230000,3230000
"1263",7789,"D","Development and delivery of a project","4","https://storymaps.arcgis.com/stories/04cccb470cb545f387eba214070eb160","Water temperature logs
Water gauge readings
LiDAR data
Ground level readings
Peat depth data
Morphological walkover survey data
River Habitat Survey (RHS) data
Digital terrain model from UAV (drone)
Orthomosaic from UAV (drone)
Animal population data (electrofishing, invertebrate samples, eDNA, etc.)","Forth Rivers Trust","Anstruther Improvement Association
Landowners
Fife Coast & Countryside Trust
St Andrews University",150000,15000,"Yes",5000,"Funding Secured","Within 1 Year","Forth","Very Confident",165000,"Funded","No","No","No",335000,170000,335000,335000
"1264",7790,"D","Development and delivery of a project","4","https://forthriverstrust.org/bathgate-maps-and-plans/","Water temperature logs
Water gauge readings
LiDAR data
Ground level readings
Peat depth data
Morphological walkover survey data
River Habitat Survey (RHS) data
Digital terrain model from UAV (drone)
Orthomosaic from UAV (drone)
Animal population data (electrofishing, invertebrate samples, eDNA, etc.)","West Lothian Council","Forth Rivers Trust
SEPA
Sustrans",1e+07,2e+05,"Yes",50000,"Partially Funded","Within 5 Years","Forth","Very Confident",10800000,"Funded","No","No","No",21050000,10250000,21050000,21050000
"1265",7791,"K","Development and delivery of a project","4","https://forthriverstrust.org/rivers-wildlife/learn/wildlife/invertebrates/freshwater-pearl-mussel/#:~:text=Freshwater%20Pearl%20Mussels%20(FWPMs)%20live,are%2010%20%E2%80%93%2015%20years%20old.","Water temperature logs
Water gauge readings
LiDAR data
Ground level readings
Peat depth data
Morphological walkover survey data
River Habitat Survey (RHS) data
Digital terrain model from UAV (drone)
Orthomosaic from UAV (drone)
Animal population data (electrofishing, invertebrate samples, eDNA, etc.)","Forth Rivers Trust","Landowner
NatureScot
Loch Lomond & The Trossachs National Park
Forestry Scotland
SEPA",150000,10000,"No",0,"Funding Secured","Within 1 Year","Forth","Very Confident",150000,"Funded","Yes","No","No",NA,160000,160000,160000
"1266",7704,"G","Provide stock proof fencing to protect buffers and plant them with locally sourced broadleaf trees. Add large woody debris to create instream diversity","3","","","Ayrshire Rivers Trust","Landowners, DSFB",16800,0,"No",NA,"Unfunded","More than 5 Years","Girvan","Very Confident",16800,"Unfunded","Yes","No","No",NA,16800,16800,16800
"1269",7795,"B","Removal of barrier to fish migration","4","https://forthriverstrust.org/project/seafield-weir-removal/
","Structure dimensions
LiDAR data
Level readings
Morphological walkover survey data
River Habitat Survey (RHS) data
Digital terrain model from UAV (drone)
Orthomosaic from UAV (drone)
Animal population data (electrofishing, invertebrate samples, eDNA, etc.)","Forth Rivers Trust","NatureScot
Landowner",80000,20000,"No",0,"Funding Secured","Within 1 Year","Forth","Very Confident",80000,"Funded","Yes","No","No",NA,1e+05,1e+05,1e+05
"1270",7743,"F","Remove or breakup redundant structures","3","","","DFSB","Ayrhsire Rivers Trust",5000,0,"No",NA,"Unfunded","More than 5 Years","Stinchar","Very Confident",5000,"Unfunded","Yes","No","No",NA,5000,5000,5000
"1272",7763,"B","Survey and monitoring works to identify suitable habitat, natural barriers and likelihood of migrating to new locations","3","","Historic and current INNS sighting and treatment data","Forth Rivers Trust","SEPA
NatureScot
Centre for Hydrology and Ecology 
Forth District Salmon Fishery Board
Forth Rivers Trust",5000,5000,"No",0,"Funding Secured","Within 2 Years","Forth","Very Confident",15000,"Funded","No","No","No",25000,10000,25000,25000
"1281",7807,"N","Delivery of engagement project","4","https://forthriverstrust.org/project/citizen-esk/#:~:text=The%20Citizen%20Esk%20Project%20seeks,calling%20for%20action%20with%20confidence.","gets collected here","Forth Rivers Trust","Community groups",250000,0,"No",0,"Funding Secured","Within 3 Years","Forth","Very Confident",0,"Funded","No","No","No",250000,250000,250000,250000
